productId,cost,margin,salePrice,effectiveAt
00000000-0000-0000-0000-0050454d6969,1.0,0.15,1.149999976158142,2026-05-27 18:09:56.901000
00000000-0000-0000-0000-008c5cb57a84,2.0,0.2,2.4000000953674316,2026-05-27 18:10:23.819000
00000000-0000-0000-0000-00be8c13e331,2.5,0.25,3.125,2026-05-27 18:10:44.289000
00000000-0000-0000-0000-00c64ec4fa7e,3.75,0.15,4.312499910593033,2026-05-27 18:11:11.660000
00000000-0000-0000-0000-005cef36a068,1.5,0.2,1.8000000715255737,2026-05-27 18:11:33.284000
00000000-0000-0000-0000-00ff1e0b1683,1.5,0.15,1.7249999642372131,2026-05-27 18:12:27.768000
00000000-0000-0000-0000-0039888e97b2,9.99,0.15,11.48849976181984,2026-05-27 18:12:44.032000
00000000-0000-0000-0000-00036e3af680,10.99,0.15,12.638499737977982,2026-05-27 18:13:01.843000
00000000-0000-0000-0000-00f049f5c2ee,3.99,0.15,4.588499904870988,2026-05-27 18:13:19.864000
00000000-0000-0000-0000-00d52880d31b,6.99,0.2,8.388000333309174,2026-05-27 18:13:35.896000
