id,barcode,name,category
00000000-0000-0000-0000-0050454d6969,045678901231,Lemons,fruit
00000000-0000-0000-0000-008c5cb57a84,001234567890,Nature's Best Organic Whole Milk (1 Gallon),dairy
00000000-0000-0000-0000-00be8c13e331,051000012347,Raspberries,fruit
00000000-0000-0000-0000-00c64ec4fa7e,012345123455,Spring Water,beverage
00000000-0000-0000-0000-005cef36a068,036000291452,Zero Calories Coca Cola,beverage
00000000-0000-0000-0000-00ff1e0b1683,078901234563,Canada Dry Ginger Ale,beverage
00000000-0000-0000-0000-0039888e97b2,081297010115,HEX Performance Stain & Stink Remover,household
00000000-0000-0000-0000-00036e3af680,091827364502,Paper Towels,household
00000000-0000-0000-0000-00f049f5c2ee,021000010104,Bounty Paper Towels,household
00000000-0000-0000-0000-00d52880d31b,045678901234,Cascade Platinum Dishwasher Pods Fresh,household
