transactionId,receiptNumber,grandTotal,transactionDate
cc9880a7-e583-46aa-b5bb-a610c346b8b4,20260504-00000001,97.09816813468933,2026-05-04 20:03:38.000000
57a2932f-3acc-464e-834e-5a5d31652784,20260504-00000002,155.4916226863861,2026-05-04 14:16:15.000000
635d2a92-fa57-48de-b6af-eb393ef10491,20260504-00000003,61.650201082229614,2026-05-04 17:46:03.000000
15dbf524-e6d7-4e83-aa1d-6c5062953b30,20260504-00000004,62.11570858955383,2026-05-04 11:46:54.000000
3a4339be-1296-42f1-b1b1-145e45b72401,20260504-00000005,68.61313581466675,2026-05-04 08:56:24.000000
578d75ce-7334-4875-8aab-b4e1e7c71b5b,20260504-00000006,72.52748489379883,2026-05-04 10:52:02.000000
e52f1ac1-05c7-4c7e-8d57-7fa7ce1713b3,20260504-00000007,13.980077505111694,2026-05-04 14:25:06.000000
a91aec6f-fa91-48a1-9f8e-b19d5d863ea7,20260504-00000008,76.08211994171143,2026-05-04 17:00:57.000000
e8a13d31-dbf1-4f07-816f-77981d7deb9f,20260504-00000009,81.16479873657227,2026-05-04 13:51:13.000000
86d6a959-f8c7-4eba-8e41-66f93167d165,20260504-00000010,104.15932059288025,2026-05-04 13:56:48.000000
f9faf773-6391-4bee-a4c5-cd1cfe15be0a,20260504-00000011,83.09926271438599,2026-05-04 18:10:51.000000
987e5e12-c4f9-436f-9a02-7b4ab7a2fdfd,20260504-00000012,49.175506830215454,2026-05-04 13:52:46.000000
eda276d0-03e0-4f9a-b121-44a8dc477900,20260504-00000013,66.55200839042664,2026-05-04 17:44:17.000000
8de9b185-e4f4-49c1-8cef-690382ad2519,20260504-00000014,44.543328285217285,2026-05-04 19:13:21.000000
5e39b9ec-6fc7-44d6-84e7-2748799fc42b,20260504-00000015,180.98140358924866,2026-05-04 18:36:57.000000
62e21d31-b05a-4bfb-80c6-ca1c4e7051bf,20260504-00000016,142.6130449771881,2026-05-04 21:09:51.000000
63c2bafb-f010-415e-93cd-cdcb646edcd7,20260504-00000017,92.36832857131958,2026-05-04 11:26:27.000000
230bbd58-6059-4b6f-a2fc-dc2eb0e3463d,20260504-00000018,4.632178544998169,2026-05-04 20:48:23.000000
cfe3c73e-ec54-40bf-8e39-bc5d00de2fbb,20260504-00000019,62.11570858955383,2026-05-04 12:15:03.000000
34329939-4cc3-4b1d-a3fc-e963d76cdfe9,20260504-00000020,77.2719144821167,2026-05-04 20:05:50.000000
280cf24c-0014-4cb5-b4e1-01ba1c01f35e,20260504-00000021,116.74876689910889,2026-05-04 12:10:50.000000
